八角茴香	苍耳子	1
八角茴香	苍术	6
八角茴香	草果	1
八角茴香	草乌	1
八角茴香	柴胡	1
八角茴香	沉香	3
八角茴香	陈皮	4
八角茴香	川楝子	2
八角茴香	川木香	1
八角茴香	川乌	3
八角茴香	川芎	3
八角茴香	大黄	1
八角茴香	当归	8
八角茴香	地黄	1
八角茴香	丁香	11
八角茴香	豆蔻	1
八角茴香	独活	1
八角茴香	杜仲	1
八角茴香	防风	3
八角茴香	附子	3
八角茴香	覆盆子	2
八角茴香	甘松	3
八角茴香	干姜	3
八角茴香	高良姜	3
八角茴香	广藿香	3
八角茴香	桂枝	2
八角茴香	海风藤	1
八角茴香	厚朴	2
八角茴香	胡椒	1
八角茴香	花椒	2
八角茴香	黄芩	2
八角茴香	降香	1
八角茴香	荆芥	2
八角茴香	韭菜子	3
八角茴香	苦杏仁	2
八角茴香	昆布	1
八角茴香	麻黄	7
八角茴香	木香	13
八角茴香	女贞子	1
八角茴香	前胡	1
八角茴香	羌活	2
八角茴香	青皮	2
八角茴香	人参	5
八角茴香	肉苁蓉	2
八角茴香	肉豆蔻	1
八角茴香	肉桂	12
八角茴香	乳香	6
八角茴香	砂仁	2
八角茴香	山柰	2
八角茴香	山楂	2
八角茴香	山茱萸	1
八角茴香	蛇床子	1
八角茴香	生姜	1
八角茴香	苏合香	1
八角茴香	锁阳	1
八角茴香	檀香	1
八角茴香	乌药	4
八角茴香	吴茱萸	2
八角茴香	细辛	5
八角茴香	仙茅	1
八角茴香	香薷	2
八角茴香	小茴香	7
八角茴香	续断	1
八角茴香	延胡索	1
八角茴香	茵陈	1
八角茴香	淫羊藿	3
八角茴香	郁金	1
八角茴香	泽泻	1
八角茴香	栀子	1
八角茴香	枳壳	1
八角茴香	猪牙皂	1
八角茴香	紫苏叶	2
巴豆	白附子	1
巴豆	白芷	1
巴豆	冰片	2
巴豆	草乌	1
巴豆	川乌	1
巴豆	大黄	2
巴豆	当归	3
巴豆	独活	1
巴豆	防风	2
巴豆	附子	1
巴豆	甘遂	2
巴豆	桂枝	1
巴豆	红花	1
巴豆	黄柏	1
巴豆	黄芪	1
巴豆	黄芩	1
巴豆	苦地丁	1
巴豆	苦杏仁	2
巴豆	麻黄	2
巴豆	木鳖子	2
巴豆	蒲公英	1
巴豆	牵牛子	1
巴豆	羌活	2
巴豆	人参	1
巴豆	肉桂	3
巴豆	乳香	2
巴豆	生姜	1
巴豆	威灵仙	1
巴豆	细辛	1
